																						
	F	F	F	F	D		F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	
	CD						F	F	F	F	F	F	F						F		F	
	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		F		F	
	F	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F		F		F	
	F	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F		F		F	
	F	F	F	F	F		F	F	F	F	F	F	F	F	F				F		F	
	F	F	F	F	F		F	F	F	F	F	F	F	F	F		F		F		F	
					F		F						F				F		F		F	
	F	F	F	F	F	F	F	F	F	F	F		F	F	F	F	F	F	F		F	
	F	F	F	F	F	F	F	F	F	F	F										F	
	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F						F	
			F	F	F	F	F	F	F	F	F	F	F	F	F						F	
			F	F	F	F	F	F	F	F	F	F	F	F	F						F	
					F	F	F	F	F	F	F										F	
	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F				F	
	F				F	F	F	F	F	F	F		F	F	F	F	F				F	
	F				F	F	F	F	F	F	F		F	F	F	F	F				F	
	F				F	F	F	F	F	F	F						F				F	
	F		F	F	F	F	F	F	F	F	F	F	F				F				F	
	F		F	F	F	F	F	F	F	F	F	F	F				F				F	
	D	F	F	F	F	F	F	F	F	F	F	F	F				F	F	F	F	F	
																						
